,alcohol,appellation,bottlesize,category,link,points,price,review,variety,wine,winery
0,15.2%,"Napa Valley, Napa, California, US",750 ml,Red,https://www.winemag.com/buying-guide/kenzo-estate-2015-rindo-estate-bottled-red-napa-valley-306469/,95,"$130,  Buy Now","A woody and herbal nose follows through to the structured, rich palate, along with sage and cedar. Black cherry and currant define the flavors, while toasted oak lends support. The blend is 47% Cabernet Sauvignon, 33% Merlot, 10% Cabernet Franc, 6% Petit Verdot and 4% Malbec. Enjoy 2025–2030.",Bordeaux-style Red Blend,Kenzo Estate 2015 Rindo Estate Bottled Red (Napa Valley),Kenzo Estate
1,14.5%,"Russian River Valley, Sonoma, California, US",750 ml,Red,https://www.winemag.com/buying-guide/lynmar-2016-old-vines-quail-hill-vineyard-pinot-noir-russian-river-valley/,95,"$80,  Buy Now","From vines planted in 1974, this vine-designate is spicy, savory and rocky in mineral content, with a broadly lush palate that's succulent in texture. Immensely pleasurable and appealing, it has an exuberance of fruit and spice.",Pinot Noir,Lynmar 2016 Old Vines Quail Hill Vineyard Pinot Noir (Russian River Valley),Lynmar
2,13.2%,"Eola-Amity Hills, Willamette Valley, Oregon, US",750 ml,White,https://www.winemag.com/buying-guide/bethel-heights-2015-the-high-wire-chardonnay-eola-amity-hills-305833/,95,"$95,  Buy Now","This is from an old-vines Wente clone, planted in 1977. You'll notice the texture first, layers of well-proportioned citrus, lemon zest, wet stone and hints of barrel toast. The length and detail are superb, and though drinking well already, this is a wine that will reward cellaring. Drink now through the 2020s.",Chardonnay,Bethel Heights 2015 The High Wire Chardonnay (Eola-Amity Hills),Bethel Heights
3,14.5%,"Mt. Harlan, Central Coast, California, US",750 ml,Red,https://www.winemag.com/buying-guide/calera-2015-mills-vineyard-fortieth-anniversary-vintage-pinot-noir-mt-harlan/,95,"$70,  Buy Now","Less than one-third of a ton per acre came off of this nearly 35-year-old vineyard from this drought-addled vintage, but what made it to bottle is quite amazing. Aromas of earthy thyme, sagebrush, wild black cherry and cocoa are layered and elegant. The palate is rich and thoroughly engaging in flavors of roasted tomato, mulberry and purple flower.",Pinot Noir,Calera 2015 Mills Vineyard Fortieth Anniversary Vintage Pinot Noir (Mt. Harlan),Calera
4,12.9%,"Santa Cruz Mountains, Central Coast, California, US",750 ml,Red,https://www.winemag.com/buying-guide/lioco-2016-saveria-pinot-noir-santa-cruz-mountains-306319/,95,"$52,  Buy Now","From a vineyard in Aptos just 4.5 miles from the ocean, this bottling begins with a bright fruity nose of alpine strawberry, red currants, dried thyme and lavender. The palate is fascinatingly floral, with rose petal, hibiscus and dried purple-flower flavors, wrapped around elegant cherry tones.",Pinot Noir,Lioco 2016 Saveria Pinot Noir (Santa Cruz Mountains),Lioco
5,13.3%,"Santa Cruz Mountains, Central Coast, California, US",750 ml,Red,https://www.winemag.com/buying-guide/big-basin-2016-lester-family-vineyards-pinot-noir-santa-cruz-mountains-306336/,95,"$55,  Buy Now","Bradley Brown goes 100% whole cluster for this single-vineyard expression with stunning results. Aromas of sagebrush, pine needles, damp thyme and wet soil meet with tart raspberry on the distinctive nose. The palate's tangy red fruit is lifted by tea leaves, wild green sage and zesty acidity that vibrates the tongue.",Pinot Noir,Big Basin 2016 Lester Family Vineyards Pinot Noir (Santa Cruz Mountains),Big Basin
6,15.2%,"Napa Valley, Napa, California, US",750 ml,Red,https://www.winemag.com/buying-guide/kenzo-estate-2015-murasaki-estate-bottled-proprietary-red-napa-valley-306470/,95,"$280,  Buy Now","This is a peppery, spicy wine that has a leathery, full-bodied feel. Succulent waves of blueberry are velvety smooth on the palate, offering an impressive marriage between richness and balance. The blend is mostly Merlot, with Cabernet Sauvignon, Cabernet Franc, Malbec and Petit Verdot.",Bordeaux-style Red Blend,Kenzo Estate 2015 Murasaki Estate Bottled Proprietary Red (Napa Valley),Kenzo Estate
7,14.4%,"Sonoma Coast, Sonoma, California, US",750 ml,White,https://www.winemag.com/buying-guide/lynmar-2016-susannas-vineyard-chardonnay-sonoma-coast/,95,"$60,  Buy Now","Creamy stone-fruit and lemon-curd flavors provide an elegant richness to this coastal white. It is a bold, layered example of the variety that is well balanced by honed acidity.",Chardonnay,Lynmar 2016 Susanna's Vineyard Chardonnay (Sonoma Coast),Lynmar
8,14.3%,"Russian River Valley, Sonoma, California, US",750 ml,White,https://www.winemag.com/buying-guide/lynmar-2016-old-wente-chardonnay-russian-river-valley/,95,"$55,  Buy Now","Medium bodied and gritty on the palate, this has a richness of crème brûlée, the fruit a mix of quince and stone fruit. The acidity is emphasized in lingering layers of lime salt that remain vibrant on the finish.",Chardonnay,Lynmar 2016 Old Wente Chardonnay (Russian River Valley),Lynmar
9,13%,"Santa Maria Valley, Central Coast, California, US",750 ml,Red,https://www.winemag.com/buying-guide/scar-of-the-sea-2016-block-q-bien-nacido-vineyard-pinot-noir-santa-maria-valley-306355/,95,"$60,  Buy Now","From vines planted in 1973, this excellent bottling is superfresh with aromas of raspberry as well as loads of dark rock minerality, from crushed slate and wet clay to smashed soapstone. That earthy minerality shows on the sip as well, alongside sagebrush, thyme, peppercorns and intense boysenberry flavors.",Pinot Noir,Scar of the Sea 2016 Block Q Bien Nacido Vineyard Pinot Noir (Santa Maria Valley),Scar of the Sea
